GENE_ID,TFBS,TRANSCRIPTS,AVERAGES
1,1.0,2,0.5
2,4.0,2,2.0
3,1.0,1,1.0
9,10.0,9,1.1111111111111112
10,6.0,1,6.0
12,0.0,7,0.0
13,1.0,1,1.0
14,2.0,2,1.0
15,4.0,3,1.3333333333333333
16,3.0,2,1.5
18,8.0,4,2.0
19,0.0,2,0.0
20,0.0,9,0.0
21,7.0,4,1.75
22,15.0,5,3.0
23,21.0,21,1.0
24,5.0,4,1.25
25,1.0,2,0.5
26,3.0,3,1.0
27,25.0,10,2.5
28,0.0,4,0.0
29,4.0,8,0.5
30,0.0,2,0.0
31,17.0,12,1.4166666666666667
32,7.0,5,1.4
33,12.0,2,6.0
34,30.0,9,3.3333333333333335
35,4.0,2,2.0
36,4.0,2,2.0
37,0.0,5,0.0
38,0.0,3,0.0
39,2.0,3,0.6666666666666666
40,0.0,2,0.0
41,7.0,6,1.1666666666666667
43,8.0,7,1.1428571428571428
47,0.0,5,0.0
48,12.0,4,3.0
49,4.0,2,2.0
50,3.0,1,3.0
51,4.0,4,1.0
52,0.0,5,0.0
53,18.0,9,2.0
54,8.0,5,1.6
55,0.0,3,0.0
56,8.0,4,2.0
58,2.0,1,2.0
59,9.0,4,2.25
60,1.0,3,0.3333333333333333
70,1.0,1,1.0
71,0.0,3,0.0
72,4.0,4,1.0
81,0.0,3,0.0
86,3.0,3,1.0
87,2.0,8,0.25
88,9.0,4,2.25
89,5.0,2,2.5
90,2.0,3,0.6666666666666666
91,4.0,5,0.8
92,8.0,3,2.6666666666666665
93,6.0,2,3.0
94,5.0,4,1.25
95,24.0,6,4.0
97,4.0,2,2.0
98,0.0,1,0.0
100,1.0,1,1.0
101,0.0,5,0.0
102,21.0,5,4.2
103,13.0,8,1.625
104,4.0,11,0.36363636363636365
105,12.0,4,3.0
107,0.0,2,0.0
108,3.0,3,1.0
109,0.0,3,0.0
111,1.0,4,0.25
112,4.0,4,1.0
113,8.0,3,2.6666666666666665
114,2.0,2,1.0
115,0.0,1,0.0
116,4.0,2,2.0
117,2.0,6,0.3333333333333333
118,14.0,8,1.75
119,2.0,7,0.2857142857142857
120,9.0,6,1.5
123,0.0,3,0.0
124,4.0,2,2.0
125,20.0,4,5.0
126,5.0,1,5.0
127,8.0,2,4.0
128,0.0,2,0.0
130,16.0,4,4.0
131,4.0,2,2.0
132,8.0,4,2.0
133,0.0,1,0.0
134,0.0,5,0.0
135,1.0,8,0.125
136,0.0,1,0.0
140,6.0,3,2.0
141,4.0,4,1.0
142,1.0,1,1.0
143,6.0,2,3.0
146,0.0,1,0.0
147,0.0,1,0.0
148,0.0,8,0.0
150,0.0,1,0.0
151,0.0,1,0.0
152,0.0,1,0.0
153,4.0,1,4.0
154,1.0,1,1.0
155,0.0,1,0.0
156,1.0,1,1.0
157,8.0,4,2.0
158,3.0,3,1.0
159,8.0,2,4.0
160,3.0,5,0.6
161,0.0,4,0.0
162,14.0,5,2.8
163,7.0,7,1.0
164,12.0,7,1.7142857142857142
165,0.0,3,0.0
166,0.0,4,0.0
167,11.0,3,3.6666666666666665
172,8.0,12,0.6666666666666666
173,4.0,1,4.0
174,8.0,3,2.6666666666666665
175,5.0,4,1.25
176,0.0,4,0.0
177,350.0,175,2.0
178,8.0,6,1.3333333333333333
181,2.0,1,2.0
182,4.0,2,2.0
183,4.0,2,2.0
185,18.0,5,3.6
186,2.0,1,2.0
187,0.0,2,0.0
189,4.0,3,1.3333333333333333
190,3.0,1,3.0
191,2.0,3,0.6666666666666666
196,5.0,1,5.0
197,0.0,2,0.0
199,42.0,24,1.75
202,8.0,2,4.0
203,0.0,1,0.0
204,18.0,6,3.0
205,0.0,4,0.0
207,1.0,7,0.14285714285714285
208,9.0,7,1.2857142857142858
210,9.0,3,3.0
211,0.0,4,0.0
212,6.0,3,2.0
213,24.0,4,6.0
214,15.0,7,2.142857142857143
215,1.0,1,1.0
216,9.0,3,3.0
217,2.0,2,1.0
218,5.0,6,0.8333333333333334
219,3.0,1,3.0
220,8.0,2,4.0
221,5.0,5,1.0
222,4.0,3,1.3333333333333333
223,8.0,4,2.0
224,4.0,4,1.0
225,2.0,1,2.0
226,6.0,7,0.8571428571428571
229,3.0,1,3.0
230,0.0,1,0.0
231,5.0,1,5.0
238,7.0,3,2.3333333333333335
239,6.0,2,3.0
240,0.0,4,0.0
241,2.0,2,1.0
242,0.0,1,0.0
244,0.0,5,0.0
245,5.0,3,1.6666666666666667
246,5.0,3,1.6666666666666667
247,5.0,5,1.0
248,4.0,2,2.0
249,0.0,5,0.0
250,2.0,1,2.0
251,0.0,1,0.0
257,1.0,1,1.0
258,6.0,1,6.0
259,1.0,3,0.3333333333333333
262,27.0,5,5.4
265,12.0,3,4.0
266,5.0,2,2.5
267,4.0,2,2.0
268,0.0,1,0.0
269,1.0,4,0.25
270,6.0,2,3.0
271,9.0,8,1.125
272,5.0,8,0.625
273,4.0,5,0.8
274,0.0,13,0.0
275,0.0,7,0.0
276,21.0,6,3.5
279,0.0,2,0.0
280,15.0,4,3.75
283,3.0,2,1.5
284,9.0,4,2.25
285,20.0,4,5.0
286,6.0,10,0.6
287,22.0,10,2.2
288,22.0,11,2.0
290,1.0,1,1.0
291,5.0,1,5.0
292,4.0,1,4.0
293,0.0,2,0.0
301,18.0,3,6.0
302,0.0,6,0.0
303,5.0,1,5.0
304,5.0,1,5.0
305,3.0,1,3.0
306,3.0,1,3.0
307,8.0,4,2.0
308,2.0,2,1.0
309,0.0,3,0.0
310,15.0,5,3.0
311,0.0,7,0.0
312,2.0,2,1.0
313,9.0,3,3.0
314,4.0,2,2.0
316,8.0,3,2.6666666666666665
317,4.0,6,0.6666666666666666
318,4.0,4,1.0
319,0.0,1,0.0
320,1.0,1,1.0
321,3.0,6,0.5
322,27.0,15,1.8
323,23.0,7,3.2857142857142856
324,2.0,5,0.4
325,1.0,1,1.0
326,0.0,4,0.0
327,0.0,2,0.0
328,4.0,4,1.0
329,12.0,3,4.0
330,4.0,1,4.0
331,3.0,3,1.0
332,9.0,9,1.0
333,0.0,5,0.0
334,2.0,9,0.2222222222222222
335,1.0,1,1.0
336,2.0,2,1.0
337,2.0,1,2.0
338,1.0,1,1.0
339,2.0,2,1.0
341,4.0,4,1.0
342,0.0,3,0.0
343,1.0,1,1.0
344,1.0,1,1.0
345,0.0,1,0.0
347,4.0,2,2.0
348,1.0,1,1.0
350,1.0,1,1.0
351,1.0,12,0.08333333333333333
353,2.0,2,1.0
354,4.0,4,1.0
355,62.0,11,5.636363636363637
356,6.0,2,3.0
357,8.0,4,2.0
358,5.0,5,1.0
359,1.0,1,1.0
360,6.0,3,2.0
361,4.0,2,2.0
362,0.0,1,0.0
363,0.0,3,0.0
364,3.0,9,0.3333333333333333
366,2.0,2,1.0
367,5.0,7,0.7142857142857143
368,0.0,4,0.0
369,15.0,5,3.0
372,15.0,3,5.0
373,6.0,3,2.0
374,1.0,1,1.0
375,0.0,4,0.0
377,0.0,2,0.0
378,1.0,1,1.0
379,2.0,1,2.0
381,0.0,2,0.0
382,1.0,1,1.0
383,9.0,3,3.0
384,2.0,1,2.0
387,2.0,2,1.0
388,1.0,1,1.0
389,8.0,4,2.0
390,9.0,3,3.0
391,2.0,1,2.0
392,3.0,3,1.0
393,3.0,4,0.75
394,5.0,5,1.0
395,17.0,7,2.4285714285714284
396,0.0,4,0.0
397,6.0,1,6.0
398,1.0,1,1.0
399,5.0,1,5.0
400,0.0,3,0.0
401,0.0,1,0.0
402,0.0,3,0.0
403,3.0,1,3.0
405,24.0,8,3.0
406,16.0,11,1.4545454545454546
407,0.0,2,0.0
408,8.0,2,4.0
409,0.0,8,0.0
410,0.0,6,0.0
411,10.0,2,5.0
412,9.0,4,2.25
414,2.0,2,1.0
415,7.0,3,2.3333333333333335
416,9.0,3,3.0
417,2.0,2,1.0
419,6.0,12,0.5
420,16.0,4,4.0
421,0.0,2,0.0
427,10.0,4,2.5
429,2.0,1,2.0
430,0.0,1,0.0
432,2.0,3,0.6666666666666666
433,0.0,7,0.0
434,0.0,1,0.0
435,14.0,7,2.0
438,4.0,6,0.6666666666666666
439,0.0,1,0.0
440,28.0,6,4.666666666666667
443,3.0,2,1.5
444,19.0,13,1.4615384615384615
445,0.0,3,0.0
460,20.0,5,4.0
462,3.0,1,3.0
463,5.0,2,2.5
466,0.0,2,0.0
467,4.0,7,0.5714285714285714
468,0.0,3,0.0
471,0.0,3,0.0
472,20.0,9,2.2222222222222223
473,10.0,5,2.0
474,2.0,1,2.0
475,1.0,1,1.0
476,9.0,5,1.8
477,3.0,5,0.6
478,0.0,5,0.0
479,12.0,2,6.0
480,7.0,4,1.75
481,0.0,1,0.0
482,0.0,1,0.0
483,2.0,2,1.0
486,0.0,3,0.0
487,1.0,4,0.25
488,9.0,5,1.8
489,1.0,8,0.125
490,4.0,4,1.0
491,2.0,6,0.3333333333333333
492,0.0,4,0.0
493,4.0,5,0.8
495,0.0,2,0.0
496,2.0,2,1.0
498,1.0,6,0.16666666666666666
501,6.0,3,2.0
506,2.0,1,2.0
509,5.0,5,1.0
513,0.0,2,0.0
514,6.0,1,6.0
515,3.0,2,1.5
516,0.0,2,0.0
517,6.0,3,2.0
518,3.0,3,1.0
521,0.0,3,0.0
522,5.0,5,1.0
523,2.0,2,1.0
525,4.0,3,1.3333333333333333
526,0.0,1,0.0
527,0.0,2,0.0
528,12.0,4,3.0
529,3.0,3,1.0
533,6.0,3,2.0
534,21.0,21,1.0
535,19.0,10,1.9
537,3.0,3,1.0
538,3.0,3,1.0
539,4.0,2,2.0
540,13.0,10,1.3
545,7.0,2,3.5
546,24.0,6,4.0
547,0.0,5,0.0
549,9.0,3,3.0
550,1.0,7,0.14285714285714285
551,0.0,1,0.0
552,6.0,1,6.0
553,0.0,1,0.0
554,3.0,3,1.0
558,0.0,3,0.0
563,6.0,1,6.0
566,2.0,1,2.0
567,6.0,3,2.0
570,8.0,2,4.0
571,3.0,3,1.0
572,0.0,3,0.0
573,0.0,2,0.0
574,9.0,2,4.5
575,0.0,1,0.0
576,5.0,9,0.5555555555555556
577,3.0,3,1.0
578,1.0,5,0.2
579,4.0,1,4.0
580,0.0,10,0.0
581,0.0,8,0.0
582,12.0,7,1.7142857142857142
583,2.0,2,1.0
585,10.0,5,2.0
586,17.0,5,3.4
587,15.0,8,1.875
590,8.0,2,4.0
593,0.0,5,0.0
594,0.0,2,0.0
595,6.0,1,6.0
596,0.0,3,0.0
597,4.0,2,2.0
598,7.0,4,1.75
599,3.0,3,1.0
602,0.0,1,0.0
604,2.0,4,0.5
605,0.0,2,0.0
606,5.0,2,2.5
607,7.0,2,3.5
608,3.0,3,1.0
610,1.0,1,1.0
611,1.0,1,1.0
613,1.0,5,0.2
617,12.0,6,2.0
618,6.0,1,6.0
622,1.0,3,0.3333333333333333
623,1.0,1,1.0
624,4.0,4,1.0
627,43.0,17,2.5294117647058822
629,0.0,27,0.0
631,8.0,4,2.0
632,0.0,1,0.0
633,0.0,1,0.0
634,10.0,11,0.9090909090909091
635,0.0,2,0.0
636,6.0,4,1.5
637,16.0,9,1.7777777777777777
638,1.0,1,1.0
639,6.0,2,3.0
640,4.0,3,1.3333333333333333
641,4.0,4,1.0
642,8.0,2,4.0
643,2.0,2,1.0
644,0.0,2,0.0
645,1.0,1,1.0
646,0.0,2,0.0
648,0.0,1,0.0
649,0.0,10,0.0
650,2.0,1,2.0
651,0.0,1,0.0
652,9.0,4,2.25
653,14.0,2,7.0
654,0.0,1,0.0
655,0.0,2,0.0
656,4.0,2,2.0
657,1.0,1,1.0
658,12.0,5,2.4
659,3.0,3,1.0
660,9.0,3,3.0
661,0.0,3,0.0
662,2.0,5,0.4
663,10.0,2,5.0
664,0.0,2,0.0
665,10.0,4,2.5
666,2.0,1,2.0
667,35.0,14,2.5
668,1.0,1,1.0
669,2.0,2,1.0
670,20.0,4,5.0
671,0.0,1,0.0
672,45.0,20,2.25
673,4.0,1,4.0
675,11.0,4,2.75
676,7.0,7,1.0
677,4.0,3,1.3333333333333333
678,0.0,1,0.0
680,2.0,1,2.0
682,2.0,5,0.4
683,3.0,1,3.0
684,2.0,1,2.0
685,1.0,1,1.0
686,4.0,4,1.0
687,2.0,1,2.0
688,4.0,2,2.0
689,9.0,3,3.0
690,1.0,1,1.0
694,2.0,1,2.0
695,20.0,13,1.5384615384615385
696,3.0,1,3.0
699,12.0,4,3.0
701,7.0,2,3.5
705,1.0,1,1.0
706,0.0,4,0.0
708,0.0,1,0.0
710,15.0,5,3.0
711,2.0,1,2.0
712,0.0,1,0.0
713,1.0,1,1.0
714,0.0,2,0.0
715,3.0,4,0.75
716,6.0,5,1.2
717,27.0,57,0.47368421052631576
718,0.0,1,0.0
719,5.0,1,5.0
720,0.0,10,0.0
721,0.0,3,0.0
